record_date	board	version	method	portal_file	submitted	board_score	metric	skill
2026-09-04	T1:val	v0004	shrunk_pseudobulk_shift_strict	t1_v0004.h5ad	2026-08-24 12:43	48.47	de_score	43.8
2026-09-04	T1:val	v0004	shrunk_pseudobulk_shift_strict	t1_v0004.h5ad	2026-08-24 12:43	48.47	de_direction	55.9
2026-09-04	T1:val	v0004	shrunk_pseudobulk_shift_strict	t1_v0004.h5ad	2026-08-24 12:43	48.47	mmd_u	51.5
2026-09-04	T1:val	v0004	shrunk_pseudobulk_shift_strict	t1_v0004.h5ad	2026-08-24 12:43	48.47	variogram	40.6
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	de_score	50.5
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	de_direction	53.2
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	mmd_u	60.9
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	variogram	59.0
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	d2_shape	52.8
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	occupancy_dice	46.6
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	scale_log_ratio	91.9
2026-09-04	T2:embryo:val_interp	v0002	g1_formal_log_rms	t2_emb_val_int_b1_a1_l1.h5ad	2026-08-27 13:07	60.15	neighborhood_mmd	64.8
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	de_score	57.8
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	de_direction	60.2
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	mmd_u	53.9
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	variogram	32.2
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	d2_shape	62.0
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	occupancy_dice	48.6
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	scale_log_ratio	82.5
2026-09-04	T2:heart:val_interp	v0009	j1_fgw_assignment	t2_hrt_int__j1fgw__v0009.h5ad	2026-09-03 19:51	57.25	neighborhood_mmd	60.4
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	de_score	49.6
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	de_direction	52.2
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	mmd_u	49.9
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	variogram	47.7
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	d2_shape	46.2
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	occupancy_dice	53.2
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	scale_log_ratio	49.7
2026-09-04	T2:heart:val_extrap	v0001	pseudobulk_shift	T2_heart_val_extrap_pseudobulk_shift.h5ad	2026-08-21 13:07	50.53	neighborhood_mmd	52.4
2026-09-04	T3:gata4	v0008	b4p0_l0_exact_floor	t3_gata4__l0floor__v0008.h5ad	2026-09-04 14:17	46.79	de_score	38.8
2026-09-04	T3:gata4	v0008	b4p0_l0_exact_floor	t3_gata4__l0floor__v0008.h5ad	2026-09-04 14:17	46.79	de_direction	49.7
2026-09-04	T3:gata4	v0008	b4p0_l0_exact_floor	t3_gata4__l0floor__v0008.h5ad	2026-09-04 14:17	46.79	severity_slope	50.0
2026-09-04	T3:gata4	v0008	b4p0_l0_exact_floor	t3_gata4__l0floor__v0008.h5ad	2026-09-04 14:17	46.79	mmd_u	51.3
2026-09-04	T3:gata4	v0008	b4p0_l0_exact_floor	t3_gata4__l0floor__v0008.h5ad	2026-09-04 14:17	46.79	variogram	50.9
